team,player_name,position
Newcastle United FC,Dan Burn,Defence
Newcastle United FC,Sven Botman,Defence
Newcastle United FC,Amar Dedić,Defence
Newcastle United FC,Malick Thiaw,Defence
Newcastle United FC,Valentino Livramento,Defence
Newcastle United FC,Lewis Hall,Defence
Newcastle United FC,Alex Murphy,Defence
Newcastle United FC,Leo Shahar,Defence
Newcastle United FC,Bruno Guimarães,Midfield
Newcastle United FC,Joe Willock,Midfield
Newcastle United FC,Joelinton,Midfield
Newcastle United FC,Jacob Ramsey,Midfield
Newcastle United FC,Joe White,Midfield
Newcastle United FC,Lewis Miley,Midfield
Newcastle United FC,Sean Steur,Midfield
Newcastle United FC,Aladji Bamba,Midfield
Newcastle United FC,Yoane Wissa,Offence
Newcastle United FC,Jacob Murphy,Offence
Newcastle United FC,Harvey Barnes,Offence
Newcastle United FC,Nick Woltemade,Offence
Newcastle United FC,Anthony Elanga,Offence
Newcastle United FC,William Osula,Offence
Newcastle United FC,Bazoumana Touré,Offence
Sunderland AFC,Simon Moore,Goalkeeper
Sunderland AFC,Anthony Patterson,Goalkeeper
Sunderland AFC,Robin Roefs,Goalkeeper
Sunderland AFC,Melker Ellborg,Goalkeeper
Sunderland AFC,Thomas Meunier,Defence
Sunderland AFC,Luke O'Nien,Defence
Sunderland AFC,Arthur Masuaku,Defence
Sunderland AFC,Nordi Mukiele,Defence
Sunderland AFC,Reinildo,Defence
Sunderland AFC,Omar Alderete,Defence
Sunderland AFC,Trai Hume,Defence
Sunderland AFC,Daniel Ballard,Defence
Sunderland AFC,Timothee Pembele,Defence
Sunderland AFC,Jenson Seelt,Defence
Sunderland AFC,Leo Fuhr Hjelde,Defence
Sunderland AFC,Aji Alese,Defence
Sunderland AFC,Granit Xhaka,Midfield
Sunderland AFC,Alan Browne,Midfield
Sunderland AFC,Enzo Le Fée,Midfield
Sunderland AFC,Abdoullah Ba,Midfield
Sunderland AFC,Habib Diarra,Midfield
Sunderland AFC,Noah Sadiki,Midfield
Sunderland AFC,Chris Rigg,Midfield
Sunderland AFC,Wilson Isidor,Offence
Sunderland AFC,Brian Brobbey,Offence
Sunderland AFC,Simon Adingra,Offence
Sunderland AFC,Romaine Mundle,Offence
Sunderland AFC,Nilson Angulo,Offence
Sunderland AFC,Ahmed Abdullahi,Offence
Sunderland AFC,Chemsdine Talbi,Offence
Sunderland AFC,Luís Semedo,Offence
Sunderland AFC,Jocelin Bi,Offence
Tottenham Hotspur FC,Guglielmo Vicario,Goalkeeper
Tottenham Hotspur FC,Martin Dúbravka,Goalkeeper
Tottenham Hotspur FC,Brandon Austin,Goalkeeper
Tottenham Hotspur FC,Antonín Kinský,Goalkeeper
Tottenham Hotspur FC,Kevin Danso,Defence
Tottenham Hotspur FC,Andrew Robertson,Defence
Tottenham Hotspur FC,Ben Davies,Defence
Tottenham Hotspur FC,Christian Romero,Defence
Tottenham Hotspur FC,Marcos Senesi,Defence
Tottenham Hotspur FC,Djed Spence,Defence
Tottenham Hotspur FC,Pedro Porro,Defence
Tottenham Hotspur FC,Jan Paul van Hecke,Defence
Tottenham Hotspur FC,Mickey van de Ven,Defence
Tottenham Hotspur FC,Destiny Udogie,Defence
Tottenham Hotspur FC,Ashley Phillips,Defence
Tottenham Hotspur FC,Kota Takai,Defence
Tottenham Hotspur FC,Souza,Defence
Tottenham Hotspur FC,Dejan Kulusevski,Midfield
Tottenham Hotspur FC,Rodrigo Bentancur,Midfield
Tottenham Hotspur FC,Sandro Tonali,Midfield
Tottenham Hotspur FC,James Maddison,Midfield
Tottenham Hotspur FC,Conor Gallagher,Midfield
Tottenham Hotspur FC,Xavi Simons,Midfield
Tottenham Hotspur FC,Pape Sarr,Midfield
Tottenham Hotspur FC,Archie Gray,Midfield
Tottenham Hotspur FC,Mateus Fernandes,Midfield
Tottenham Hotspur FC,Lucas Bergvall,Midfield
Tottenham Hotspur FC,Dominic Solanke,Offence
Tottenham Hotspur FC,Richarlison,Offence
Tottenham Hotspur FC,Manor Solomon,Offence
Tottenham Hotspur FC,Mohammed Kudus,Offence
Tottenham Hotspur FC,Dane Scarlett,Offence
Tottenham Hotspur FC,Mathys Tel,Offence
Tottenham Hotspur FC,Wilson Odobert,Offence
Tottenham Hotspur FC,Mikey Moore,Offence
Tottenham Hotspur FC,Min-hyuk Yang,Offence
Tottenham Hotspur FC,William Lankshear,Offence
Hull City AFC,Jack Butland,Goalkeeper
Hull City AFC,Dillon Phillips,Goalkeeper
Hull City AFC,Harvey Cartwright,Goalkeeper
Hull City AFC,Konstantinos Tzolakis,Goalkeeper
Hull City AFC,Thimothee Lo-Tutala,Goalkeeper
Hull City AFC,Matt Targett,Defence
Hull City AFC,Paddy McNair,Defence
Hull City AFC,John Egan,Defence
Hull City AFC,Lewie Coyle,Defence
Hull City AFC,Semi Ajayi,Defence
Hull City AFC,Ryan John Giles,Defence
Hull City AFC,Cody Drameh,Defence
Hull City AFC,Matty Jacob,Defence
Hull City AFC,Charlie Hughes,Defence
Hull City AFC,Nobel Mendy,Defence
Hull City AFC,Lucas Herrington,Defence
Hull City AFC,Regan Slater,Midfield
Hull City AFC,Matty Crooks,Midfield
Hull City AFC,Kieran Dowell,Midfield
Hull City AFC,Abdülkadir Ömür,Midfield
Hull City AFC,Hidemasa Morita,Midfield
Hull City AFC,Eliot Matazo,Midfield
Hull City AFC,Lucas Gourna-Douath,Midfield
Hull City AFC,Darko Gyabi,Midfield
Hull City AFC,Elliot Stroud,Midfield
Hull City AFC,Jens Hjertö-Dahl,Midfield
Hull City AFC,Óscar Zambrano,Midfield
Hull City AFC,Oliver McBurnie,Offence
Hull City AFC,Joe Gelhardt,Offence
Hull City AFC,Liam Millar,Offence
Hull City AFC,Enis Destan,Offence
Hull City AFC,David Akintola,Offence
Hull City AFC,Mason Burstow,Offence
Hull City AFC,Abu Kamara,Offence
Hull City AFC,Mohamed Belloumi,Offence
Leeds United FC,Lucas Perri,Goalkeeper
Leeds United FC,Alex Cairns,Goalkeeper
Leeds United FC,James Trafford,Goalkeeper
Leeds United FC,Nico Elvedi,Defence
Leeds United FC,Jayden Bogle,Defence
Leeds United FC,James Justin,Defence
Leeds United FC,Joe Rodon,Defence
Leeds United FC,Maximilian Wöber,Defence
Leeds United FC,Sam Byram,Defence
Leeds United FC,Sebastiaan Bornauw,Defence
Leeds United FC,Gabriel Gudmundsson,Defence
Leeds United FC,Jaka Bijol,Defence
Leeds United FC,Isaac Schmidt,Defence
Leeds United FC,Tarik Muharemović,Defence
Leeds United FC,Sean Longstaff,Midfield
Leeds United FC,Ethan Ampadu,Midfield
Leeds United FC,Ao Tanaka,Midfield
